Id,Name,Score,LogIn,LogOut,Date,Email,Age,Country
58641, Derek Jeter, 250, 08:45, 17:30, 10/02/2020, derek.jeter@example.com, 42, USA
75389, Babe Ruth, 345, 09:15, 18:00, 10/02/2020, babe.ruth@example.com, 54, USA
12903, Willie Mays, 123, 10:30, 19:00, 12/20/2020, willie.mays@example.com, 50, USA
25897, Jackie Robinson, 987, 11:00, 20:00, 02/05/2021, jackie.robinson@example.com, 53, USA
42971, Hank Aaron, 876, 12:15, 21:30, 04/18/2021, hank.aaron@example.com, 60, USA
65724, Ken Griffey Jr., 234, 13:30, 22:45, 06/30/2021, ken.griffey@example.com, 50, USA
87432, Roberto Clemente, 456, 14:45, 23:15, 08/12/2021, roberto.clemente@example.com, 48, USA
16924, Barry Bonds, 567, 15:30, 00:00, 10/25/2021, barry.bonds@example.com, 48, USA
23897, Mike Trout, 678, 16:45, 01:30, 12/05/2021, mike.trout@example.com, 30, USA
31589, Nolan Ryan, 789, 17:30, 02:45, 01/15/2022, nolan.ryan@example.com, 57, USA
11408, Ichiro Suzuki, 250, 08:45, 17:30, 05/10/2020, ichiro.suzukiUSAGiba@example.com, 47, Japan
22186, Sadaharu Oh, 345, 09:15, 18:00, 09/15/2020, sadaharu.oh@example.com, 80, Japan
39427, Hideo Nomo, 123, 10:30, 19:00, 12/20/2020, hideo.nomo@example.com, 52, Japan
58834, Hideki Matsui, 987, 11:00, 20:00, 02/05/2021, hideki.matsui@example.com, 47, Japan
77254, Daisuke Matsuzaka, 876, 12:15, 21:30, 04/18/2021, daisuke.matsuzaka@example.com, 41, Japan
94123, Shohei Ohtani, 234, 13:30, 22:45, 06/30/2021, shohei.ohtani@example.com, 27, Japan
14892, Yu Darvish, 456, 14:45, 23:15, 08/12/2021, yu.darvish@example.com, 35, Japan
22435, Masahiro Tanaka, 567, 15:30, 00:00, 10/25/2021, masahiro.tanaka@example.com, 33, Japan
34892, Tetsuto Yamada, 678, 16:45, 01:30, 12/05/2021, tetsuto.yamada@example.com, 29, Japan
49083, Sho Nakata, 789, 17:30, 02:45, 01/15/2022, sho.nakata@example.com, 32, Japan
63582, Karch Kiraly, 250, 08:45, 17:30, 05/10/2020, karch.kiraly@example.com, 47, USA
71935, Misty May-Treanor, 345, 09:15, 18:00, 09/15/2020, misty.maytreanor@example.com, 43, USA
86924, Phil Dalhausser, 123, 10:30, 19:00, 12/20/2020, phil.dalhausser@example.com, 41, USA
99673, Kerri Walsh Jennings, 987, 11:00, 20:00, 02/05/2021, kerri.walsh@example.com, 43, USA
15672, April Ross, 876, 12:15, 21:30, 04/18/2021, april.ross@example.com, 39, USA
24680, Todd Rogers, 234, 13:30, 22:45, 06/30/2021, todd.rogers@example.com, 47, USA
33426, Nicole Branagh, 456, 14:45, 23:15, 08/12/2021, nicole.branagh@example.com, 42, USA
45823, Jake Gibb, 567, 15:30, 00:00, 10/25/2021, jake.gibb@example.com, 45, USA
57296, Taylor Crabb, 678, 16:45, 01:30, 12/05/2021, taylor.crabb@example.com, 30, USA
63184, Alex Klineman, 789, 17:30, 02:45, 01/15/2022, alex.klineman@example.com, 32, USA
79436, Gibal, 250, 08:45, 17:30, 05/10/2020, gibal@example.com, 47, Brazil
82714, Nalbert, 345, 09:15, 18:00, 09/15/2020, nalbert@example.com, 43, Brazil
92958, Serginho, 123, 10:30, 19:00, 12/20/2020, serginho@example.com, 41, Brazil
04521, Dante Amaral, 987, 11:00, 20:00, 02/05/2021, dante.amaral@example.com, 43, Brazil
17628, Bruno Rezende, 876, 12:15, 21:30, 04/18/2021, bruno.rezende@example.com, 39, Brazil
29517, Murilo Endres, 234, 13:30, 22:45, 06/30/2021, murilo.endres@example.com, 47, Brazil
37189, Giba, 456, 14:45, 23:15, 08/12/2021, giba@example.com, 42, Brazil
58123, Gustavo Endres, 567, 15:30, 00:00, 10/25/2021, gustavo.endres@example.com, 45, Brazil
69824, André Heller, 678, 16:45, 01:30, 12/05/2021, andre.heller@example.com, 30, Brazil
75431, Rodrigão, 789, 17:30, 02:45, 01/15/2022, rodrigao@example.com, 32, Brazil
